BaseID,Name,key_character,character_tier,relic_rec,notes,alignment,role,categories,ship
TRIPLEZERO,0-0-0,yes,,9,TB,Dark Side,Support,Droid|Scoundrel,
4LOM,4-LOM,no,,7,,Dark Side,Support,Leader|Bounty Hunter|Droid|Scoundrel,
50RT,50R-T,no,,7,,Light Side,Support,Leader|Droid|Old Republic,
ARCTROOPER501ST,ARC Trooper,yes,,8,TB,Light Side,Attacker,501st|Clone Trooper|Galactic Republic,
AAYLASECURA,Aayla Secura,yes,,9,TB,Light Side,Support,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
ADMIRALACKBAR,Admiral Ackbar,yes,,8,,Light Side,Support,Leader|Rebel|Fleet Commander,CAPITALMONCALAMARICRUISER
ADMIRALPIETT,Admiral Piett,yes,,9,,Dark Side,Support,Leader|Empire|Imperial Trooper|Fleet Commander,CAPITALEXECUTOR
ADMIRALRADDUS,Admiral Raddus,yes,,9,,Light Side,Support,Leader|Rebel|Rogue One|Fleet Commander,CAPITALPROFUNDITY
TRENCH,Admiral Trench,yes,,8,TW delta,Dark Side,Support,Leader|Separatist,
GLAHSOKATANO,Ahsoka Tano,yes,,10,GL,Light Side,Tank,Leader|Galactic Legend|Spectre|Unaligned Force User,
FULCRUMAHSOKA,Ahsoka Tano (Fulcrum),yes,,9,,Light Side,Attacker,Rebel|Spectre|Unaligned Force User,
AHSOKATANO,Ahsoka Tano (Snips),yes,,9,,Light Side,Attacker,Leader|501st|Galactic Republic|Jedi,JEDISTARFIGHTERAHSOKATANO
AMILYNHOLDO,Amilyn Holdo,no,,5,,Light Side,Tank,Resistance|Fleet Commander,CAPITALRADDUS
ASAJVENTRESS,Asajj Ventress,no,,5,,Dark Side,Support,Leader|Nightsister|Separatist|Unaligned Force User,
ASAJJDARKDISCIPLE,Asajj Ventress (Dark Disciple),yes,,7,GAC delta,Dark Side,Attacker,Leader|Bounty Hunter|Nightsister|Unaligned Force User,
AURRA_SING,Aurra Sing,no,,6,,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,
B1BATTLEDROIDV2,B1 Battle Droid,no,,5,,Dark Side,Attacker,Droid|Separatist,
B2SUPERBATTLEDROID,B2 Super Battle Droid,no,,7,,Dark Side,Tank,Droid|Separatist,
BB8,BB-8,no,,7,,Light Side,Support,Droid|Resistance,
BT1,BT-1,yes,,9,TB,Dark Side,Attacker,Droid|Scoundrel,
BARRISSOFFEE,Barriss Offee,yes,,8,GAC delta,Light Side,Healer,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
BASTILASHAN,Bastila Shan,yes,,7,,Light Side,Support,Leader|Jedi|Old Republic,
BASTILASHANDARK,Bastila Shan (Fallen),yes,,7,GAC delta,Dark Side,Support,Sith|Sith Empire,
BATCHERS3,Batcher,yes,,7,,Light Side,Attacker,Bad Batch|Order 66 Raid,
BAYLANSKOLL,Baylan Skoll,yes,,9,,Dark Side,Tank,Leader|Mercenary|Unaligned Force User,
BAZEMALBUS,Baze Malbus,no,,6,,Light Side,Tank,Rebel|Rebel Fighter|Rogue One,
BENSOLO,Ben Solo,yes,,9,GAC delta,Light Side,Attacker,Unaligned Force User,
BIGGSDARKLIGHTER,Biggs Darklighter,no,,5,,Light Side,Support,Rebel|Rebel Fighter,XWINGRED3
BISTAN,Bistan,no,,5,,Light Side,Attacker,Rebel|Rebel Fighter|Rogue One,UWINGSCARIF
MANDALORBOKATAN,Bo-Katan (Mand'alor),yes,,8,,Light Side,Attacker,Leader|Mandalorian,
BOKATAN,Bo-Katan Kryze,yes,,7,GAC delta,Light Side,Attacker,Leader|Mandalorian|Scoundrel,
BOBAFETT,Boba Fett,yes,,8,,Dark Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Scoundrel,SLAVE1
BOBAFETTSCION,"Boba Fett, Scion of Jango",yes,,8,,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,
BODHIROOK,Bodhi Rook,no,,5,,Light Side,Support,Rebel|Rebel Fighter|Rogue One,ROGUEONESHIP
BOSSNASS,Boss Nass,yes,,8,,Light Side,Support,Leader|Gungan,
BOSSK,Bossk,yes,,8,,Dark Side,Tank,Leader|Bounty Hunter|Scoundrel,HOUNDSTOOTH
BOUSHH,Boushh (Leia Organa),yes,,8,,Light Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Scoundrel,
BRUTUS,Brutus,yes,,9,GAC delta,Dark Side,Attacker,Pirate|Scoundrel|Order 66 Raid,
C3POLEGENDARY,C-3PO,yes,,8,,Light Side,Support,Droid|Galactic Republic|Rebel|Resistance,
APPO,"CC-1119 ""Appo""",yes,,9,,Dark Side,Attacker,Clone Trooper|Empire|Order 66 Raid,
CC2224,"CC-2224 ""Cody""",no,,5,,Light Side,Attacker,Leader|Clone Trooper|Galactic Republic,
CT210408,"CT-21-0408 ""Echo""",yes,,7,TB,Light Side,Support,501st|Clone Trooper|Galactic Republic,
CT5555,"CT-5555 ""Fives""",yes,,7,TB,Light Side,Tank,Leader|501st|Clone Trooper|Galactic Republic,UMBARANSTARFIGHTER
CT7567,"CT-7567 ""Rex""",yes,,7,TB,Light Side,Support,Leader|501st|Clone Trooper|Galactic Republic,ARC170REX
OPERATIVE,CX-2,yes,,9,,Dark Side,Support,Clone Trooper|Empire|Order 66 Raid,
CADBANE,Cad Bane,no,,7,,Dark Side,Support,Leader|Bounty Hunter|Hutt Cartel|Mercenary|Scoundrel,XANADUBLOOD
CALKESTIS,Cal Kestis,yes,,7,,Light Side,Support,Unaligned Force User,
CANDEROUSORDO,Canderous Ordo,no,,6,,Dark Side,Attacker,Mandalorian|Mercenary|Old Republic|Scoundrel,
CAPTAINDROGAN,Captain Drogan,yes,,9,,Light Side,Attacker,Rebel|Rebel Fighter,BWINGREBEL
CAPTAINENOCH,Captain Enoch,yes,,9,TB,Dark Side,Support,Leader|Imperial Remnant,
HOTHHAN,Captain Han Solo,no,,5,,Light Side,Support,Rebel|Scoundrel,
ITHANO,Captain Ithano,yes,,7,,Dark Side,Attacker,Leader|Pirate|Scoundrel|Order 66 Raid,
PHASMA,Captain Phasma,no,,7,,Dark Side,Support,Leader|First Order,COMMANDSHUTTLE
CAPTAINREX,Captain Rex,yes,,8,TB,Light Side,Support,Clone Trooper|Phoenix|Rebel|Rebel Fighter,
CAPTAINSILVO,Captain Silvo,yes,,7,,Dark Side,Support,Leader|Pirate|Scoundrel|Unaligned Force User|Order 66 Raid,
CAPTAINTARPALS,Captain Tarpals,yes,,8,,Light Side,Attacker,Gungan,
CARADUNE,Cara Dune,yes,,7,TB,Light Side,Tank,Constable|Mercenary|Rebel|Rebel Fighter|Scoundrel,
CARTHONASI,Carth Onasi,no,,5,,Light Side,Attacker,Leader|Old Republic,EBONHAWK
CASSIANANDOR,Cassian Andor,yes,,8,,Light Side,Support,Rebel|Rebel Fighter|Rogue One,UWINGROGUEONE
CASSIANUNDERCOVER,Cassian Andor (Undercover),no,,5,,Light Side,Support,Leader|Rebel|Rebel Fighter,
CEREJUNDA,Cere Junda,yes,,8,GAC delta,Light Side,Support,Leader|Scoundrel|Unaligned Force User,
CHEWBACCALEGENDARY,Chewbacca,yes,,8,TB,Light Side,Attacker,Rebel|Scoundrel|Smuggler|Wookiee,MILLENNIUMFALCON
CHIEFCHIRPA,Chief Chirpa,no,,7,,Light Side,Support,Leader|Ewok,
CHIEFNEBIT,Chief Nebit,no,,5,,Light Side,Tank,Leader|Jawa,
CHIRRUTIMWE,Chirrut Îmwe,no,,5,,Light Side,Attacker,Rebel|Rebel Fighter|Rogue One,
CHOPPERS3,Chopper,no,,7,TW delta,Light Side,Support,Droid|Phoenix|Rebel|Spectre,PHANTOM2
CINTA,Cinta Kaz,no,,5,,Light Side,Attacker,Rebel|Rebel Fighter,
CLONESERGEANTPHASEI,Clone Sergeant - Phase I,no,,5,,Light Side,Attacker,Clone Trooper|Galactic Republic,ARC170CLONESERGEANT
CLONEWARSCHEWBACCA,Clone Wars Chewbacca,yes,,7,TB,Light Side,Tank,Leader|Galactic Republic|Scoundrel|Wookiee,
COBBVANTH,Cobb Vanth,yes,,7,,Light Side,Attacker,Leader|Constable,
COLONELSTARCK,Colonel Starck,no,,8,,Dark Side,Support,Empire|Imperial Trooper,
COMMANDERAHSOKA,Commander Ahsoka Tano,yes,,9,,Light Side,Attacker,Galactic Republic|Scoundrel|Unaligned Force User,
COMMANDERLUKESKYWALKER,Commander Luke Skywalker,yes,,7,,Light Side,Attacker,Leader|Rebel|Unaligned Force User,
CORUSCANTUNDERWORLDPOLICE,Coruscant Underworld Police,yes,,9,,Light Side,Support,Constable|Galactic Republic,
COUNTDOOKU,Count Dooku,yes,,8,TW delta,Dark Side,Attacker,Leader|Separatist|Sith,
CROSSHAIRS3,Crosshair (Scarred),yes,,7,,Light Side,Attacker,Bad Batch|Order 66 Raid,
DARKTROOPER,Dark Trooper,no,,7,,Dark Side,Attacker,Droid|Empire|Imperial Remnant|Imperial Trooper,
MOFFGIDEONS3,Dark Trooper Moff Gideon,yes,,8,TB,Dark Side,Tank,Leader|Empire|Imperial Remnant,
DARTHBANE,Darth Bane,yes,,9,,Dark Side,Attacker,Leader|Sith,
DARTHMALAK,Darth Malak,yes,,9,,Dark Side,Tank,Sith|Sith Empire,
DARTHMALGUS,Darth Malgus,yes,,9,,Dark Side,Tank,Leader|Sith|Sith Empire,FURYCLASSINTERCEPTOR
MAUL,Darth Maul,no,,7,,Dark Side,Attacker,Leader|Sith,SITHINFILTRATOR
DARTHNIHILUS,Darth Nihilus,yes,,7,GAC delta,Dark Side,Support,Leader|Sith,
DARTHREVAN,Darth Revan,yes,,10,Fleet arena,Dark Side,Attacker,Leader|Sith|Sith Empire|Fleet Commander,CAPITALLEVIATHAN
DARTHSIDIOUS,Darth Sidious,yes,,8,,Dark Side,Attacker,Leader|Sith,
DARTHSION,Darth Sion,yes,,7,GAC delta,Dark Side,Tank,Sith,
DARTHTALON,Darth Talon,yes,,7,GAC delta,Dark Side,Attacker,Sith,
DARTHTRAYA,Darth Traya,yes,,7,GAC delta,Dark Side,Support,Leader|Sith,
VADER,Darth Vader,yes,,8,,Dark Side,Attacker,Leader|Empire|Sith,TIEADVANCED
VADERDUELSEND,Darth Vader (Duel's End),yes,,8,GAC delta,Dark Side,Attacker,Empire|Sith,
DASHRENDAR,Dash Rendar,yes,,7,,Light Side,Support,Leader|Mercenary|Scoundrel|Smuggler,OUTRIDER
DATHCHA,Dathcha,no,,5,,Light Side,Support,Leader|Jawa,
DEATHTROOPER,Death Trooper,no,,7,,Dark Side,Attacker,Empire|Imperial Remnant|Imperial Trooper,TIEREAPER
DEATHTROOPERPERIDEA,Death Trooper (Peridea),yes,,9,TB,Dark Side,Attacker,Imperial Remnant|Nightsister,
DEDRAMEERO,Dedra Meero,no,,5,,Dark Side,Support,Empire|ISB,
DENGAR,Dengar,yes,,8,,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,PUNISHINGONE
DEPABILLABA,Depa Billaba,yes,,9,TB,Light Side,Attacker,Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
DIRECTORKRENNIC,Director Krennic,no,,5,,Dark Side,Support,Leader|Empire|ISB,
DISGUISEDCLONETROOPER,Disguised Clone Trooper,yes,,9,,Dark Side,Support,Clone Trooper|Empire|Order 66 Raid,
DOCTORAPHRA,Doctor Aphra,yes,,9,TB,Dark Side,Support,Leader|Mercenary|Scoundrel,
DROIDEKA,Droideka,no,,7,,Dark Side,Attacker,Droid|Separatist,
BADBATCHECHO,Echo,yes,,7,GAC delta,Light Side,Support,Bad Batch|Clone Trooper|Galactic Republic,
EETHKOTH,Eeth Koth,no,,5,,Light Side,Support,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
EIGHTHBROTHER,Eighth Brother,yes,,9,TB,Dark Side,Attacker,Leader|Empire|Inquisitorius|Unaligned Force User,
EMBO,Embo,yes,,7,TW delta,Dark Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Mercenary|Scoundrel,
EMPERORPALPATINE,Emperor Palpatine,yes,,7,,Dark Side,Support,Leader|Empire|Sith,EMPERORSSHUTTLE
ENFYSNEST,Enfys Nest,no,,7,,Light Side,Attacker,Pirate|Scoundrel|Smuggler|Order 66 Raid,
EWOKELDER,Ewok Elder,no,,5,,Light Side,Healer,Ewok,
EWOKSCOUT,Ewok Scout,no,,5,,Light Side,Attacker,Ewok,
EZRABRIDGERS3,Ezra Bridger,no,,6,,Light Side,Attacker,Jedi|Phoenix|Rebel,PHANTOM2
EZRAEXILE,Ezra Bridger (Exile),yes,,10,,Light Side,Support,Jedi|Spectre,
FENNECSHAND,Fennec Shand,no,,7,,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,
FIFTHBROTHER,Fifth Brother,yes,,9,TB,Dark Side,Support,Leader|Empire|Inquisitorius|Unaligned Force User,SCYTHE
FINN,Finn,no,,6,GAC delta,Light Side,Tank,Leader|Resistance,MILLENNIUMFALCONEP7
FIRSTORDEREXECUTIONER,First Order Executioner,no,,5,,Dark Side,Attacker,First Order,
FIRSTORDEROFFICERMALE,First Order Officer,yes,,6,,Dark Side,Support,First Order,FIRSTORDERTIEECHELON
FIRSTORDERSPECIALFORCESPILOT,First Order SF TIE Pilot,no,,5,,Dark Side,Attacker,First Order,TIEFIGHTERFOSF
FIRSTORDERTROOPER,First Order Stormtrooper,no,,5,,Dark Side,Tank,First Order,COMMANDSHUTTLE
FIRSTORDERTIEPILOT,First Order TIE Pilot,no,,5,,Dark Side,Attacker,First Order,TIEFIGHTERFIRSTORDER
GAMORREANGUARD,Gamorrean Guard,no,,5,,Dark Side,Tank,Hutt Cartel|Scoundrel,
GARSAXON,Gar Saxon,yes,,7,,Dark Side,Tank,Leader|Empire|Mandalorian,GAUNTLETSTARFIGHTER
ZEBS3,"Garazeb ""Zeb"" Orrelios",no,,5,,Light Side,Tank,Rebel|Phoenix,GHOST
GRIEVOUS,General Grievous,yes,,8,,Dark Side,Attacker,Leader|Droid|Separatist|Fleet Commander,CAPITALMALEVOLENCE
GENERALHUX,General Hux,yes,,7,,Dark Side,Support,Leader|First Order|Fleet Commander,CAPITALFINALIZER
GENERALKENOBI,General Kenobi,yes,,9,,Light Side,Tank,Leader|Galactic Republic|Jedi|Fleet Commander,CAPITALNEGOTIATOR
