BaseID,Name,key_character,character_tier,relic_rec,notes,alignment,role,categories,ship
TRIPLEZERO,0-0-0,,,,,Dark Side,Support,Droid|Scoundrel,
4LOM,4-LOM,,,,,Dark Side,Support,Leader|Bounty Hunter|Droid|Scoundrel,
50RT,50R-T,,,,,Light Side,Support,Leader|Droid|Old Republic,
ARCTROOPER501ST,ARC Trooper,,,,,Light Side,Attacker,501st|Clone Trooper|Galactic Republic,
AAYLASECURA,Aayla Secura,,,,,Light Side,Support,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
ADMIRALACKBAR,Admiral Ackbar,,,,,Light Side,Support,Leader|Rebel|Fleet Commander,CAPITALMONCALAMARICRUISER
ADMIRALPIETT,Admiral Piett,,,,,Dark Side,Support,Leader|Empire|Imperial Trooper|Fleet Commander,CAPITALEXECUTOR
ADMIRALRADDUS,Admiral Raddus,,,,,Light Side,Support,Leader|Rebel|Rogue One|Fleet Commander,CAPITALPROFUNDITY
TRENCH,Admiral Trench,,,,,Dark Side,Support,Leader|Separatist,
GLAHSOKATANO,Ahsoka Tano,,,,,Light Side,Tank,Leader|Galactic Legend|Spectre|Unaligned Force User,
FULCRUMAHSOKA,Ahsoka Tano (Fulcrum),,,,,Light Side,Attacker,Rebel|Spectre|Unaligned Force User,
AHSOKATANO,Ahsoka Tano (Snips),,,,,Light Side,Attacker,Leader|501st|Galactic Republic|Jedi,JEDISTARFIGHTERAHSOKATANO
AMILYNHOLDO,Amilyn Holdo,,,,,Light Side,Tank,Resistance|Fleet Commander,CAPITALRADDUS
ASAJVENTRESS,Asajj Ventress,,,,,Dark Side,Support,Leader|Nightsister|Separatist|Unaligned Force User,
ASAJJDARKDISCIPLE,Asajj Ventress (Dark Disciple),,,,,Dark Side,Attacker,Leader|Bounty Hunter|Nightsister|Unaligned Force User,
AURRA_SING,Aurra Sing,,,,,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,
B1BATTLEDROIDV2,B1 Battle Droid,,,,,Dark Side,Attacker,Droid|Separatist,
B2SUPERBATTLEDROID,B2 Super Battle Droid,,,,,Dark Side,Tank,Droid|Separatist,
BB8,BB-8,,,,,Light Side,Support,Droid|Resistance,
BT1,BT-1,,,,,Dark Side,Attacker,Droid|Scoundrel,
BARRISSOFFEE,Barriss Offee,,,,,Light Side,Healer,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
BASTILASHAN,Bastila Shan,,,,,Light Side,Support,Leader|Jedi|Old Republic,
BASTILASHANDARK,Bastila Shan (Fallen),,,,,Dark Side,Support,Sith|Sith Empire,
BATCHERS3,Batcher,,,,,Light Side,Attacker,Bad Batch|Order 66 Raid,
BAYLANSKOLL,Baylan Skoll,,,,,Dark Side,Tank,Leader|Mercenary|Unaligned Force User,
BAZEMALBUS,Baze Malbus,,,,,Light Side,Tank,Rebel|Rebel Fighter|Rogue One,
BENSOLO,Ben Solo,,,,,Light Side,Attacker,Unaligned Force User,
BIGGSDARKLIGHTER,Biggs Darklighter,,,,,Light Side,Support,Rebel|Rebel Fighter,XWINGRED3
BISTAN,Bistan,,,,,Light Side,Attacker,Rebel|Rebel Fighter|Rogue One,UWINGSCARIF
MANDALORBOKATAN,Bo-Katan (Mand'alor),,,,,Light Side,Attacker,Leader|Mandalorian,
BOKATAN,Bo-Katan Kryze,,,,,Light Side,Attacker,Leader|Mandalorian|Scoundrel,
BOBAFETT,Boba Fett,,,,,Dark Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Scoundrel,SLAVE1
BOBAFETTSCION,"Boba Fett, Scion of Jango",,,,,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,
BODHIROOK,Bodhi Rook,,,,,Light Side,Support,Rebel|Rebel Fighter|Rogue One,ROGUEONESHIP
BOSSNASS,Boss Nass,,,,,Light Side,Support,Leader|Gungan,
BOSSK,Bossk,,,,,Dark Side,Tank,Leader|Bounty Hunter|Scoundrel,HOUNDSTOOTH
BOUSHH,Boushh (Leia Organa),,,,,Light Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Scoundrel,
BRUTUS,Brutus,,,,,Dark Side,Attacker,Pirate|Scoundrel|Order 66 Raid,
C3POLEGENDARY,C-3PO,,,,,Light Side,Support,Droid|Galactic Republic|Rebel|Resistance,
APPO,"CC-1119 ""Appo""",,,,,Dark Side,Attacker,Clone Trooper|Empire|Order 66 Raid,
CC2224,"CC-2224 ""Cody""",,,,,Light Side,Attacker,Leader|Clone Trooper|Galactic Republic,
CT210408,"CT-21-0408 ""Echo""",,,,,Light Side,Support,501st|Clone Trooper|Galactic Republic,
CT5555,"CT-5555 ""Fives""",,,,,Light Side,Tank,Leader|501st|Clone Trooper|Galactic Republic,UMBARANSTARFIGHTER
CT7567,"CT-7567 ""Rex""",,,,,Light Side,Support,Leader|501st|Clone Trooper|Galactic Republic,ARC170REX
OPERATIVE,CX-2,,,,,Dark Side,Support,Clone Trooper|Empire|Order 66 Raid,
CADBANE,Cad Bane,,,,,Dark Side,Support,Leader|Bounty Hunter|Hutt Cartel|Mercenary|Scoundrel,XANADUBLOOD
CALKESTIS,Cal Kestis,,,,,Light Side,Support,Unaligned Force User,
CANDEROUSORDO,Canderous Ordo,,,,,Dark Side,Attacker,Mandalorian|Mercenary|Old Republic|Scoundrel,
CAPTAINDROGAN,Captain Drogan,,,,,Light Side,Attacker,Rebel|Rebel Fighter,BWINGREBEL
CAPTAINENOCH,Captain Enoch,,,,,Dark Side,Support,Leader|Imperial Remnant,
HOTHHAN,Captain Han Solo,,,,,Light Side,Support,Rebel|Scoundrel,
ITHANO,Captain Ithano,,,,,Dark Side,Attacker,Leader|Pirate|Scoundrel|Order 66 Raid,
