Character,Player,Target,Δ,Comment,Guild,R10,R9,R8,R7,<R7
4-LOM,7,7,0,,50,0,12,5,19,14
50R-T,8,7,0,,50,0,3,7,16,24
Aayla Secura,9,9,0,TB,50,0,29,13,5,3
Lando Calrissian,5,5,0,,50,0,1,0,6,43
Admiral Ackbar,8,8,0,,50,0,1,38,2,9
Admiral Piett,8,9,1,,50,0,44,6,0,0
Admiral Raddus,9,9,0,,50,0,50,0,0,0
Ahsoka Tano (Snips),9,9,0,,50,0,50,0,0,0
Amilyn Holdo,5,5,0,,50,0,2,4,9,35
Jedi Knight Anakin,8,8,0,GAC delta,50,0,2,23,25,0
"CC-1119 ""Appo""",9,9,0,,50,1,47,2,0,0
ARC Trooper,8,8,0,TB,50,0,0,50,0,0
The Armorer,6,7,1,GAC delta,50,0,3,4,16,27
Asajj Ventress (Dark Disciple),6,7,1,GAC delta,50,0,9,4,2,35
Asajj Ventress,6,5,0,,50,0,1,6,12,31
Aurra Sing,7,6,0,,50,0,1,2,10,37
B1 Battle Droid,7,5,0,,50,0,2,2,15,31
B2 Super Battle Droid,6,7,1,,50,0,2,14,9,25
Echo,9,7,0,GAC delta,50,0,3,4,18,25
Hunter,5,5,0,,50,0,1,4,9,36
Omega,3,5,2,,50,0,1,2,6,41
Tech,5,5,0,,50,0,2,5,9,34
Wrecker,5,5,0,,50,0,0,5,10,35
Barriss Offee,8,8,0,GAC delta,50,0,10,13,19,8
Bastila Shan,8,7,0,GAC delta,50,0,2,14,34,0
Bastila Shan (Fallen),7,7,0,GAC delta,50,0,0,9,22,19
Batcher,7,7,0,,50,0,1,23,21,5
Baylan Skoll,9,9,0,,50,1,33,8,8,0
Baze Malbus,7,6,0,,50,0,5,4,15,26
BB-8,7,7,0,,50,0,0,2,48,0
Ben Solo,9,9,0,GAC delta,50,3,24,15,7,1
Biggs Darklighter,5,5,0,,50,0,0,1,10,39
Bistan,8,5,0,,50,0,3,3,7,37
Boba Fett,8,8,0,,50,0,7,43,0,0
"Boba Fett, Scion of Jango",7,8,1,,50,0,10,15,15,10
Bodhi Rook,5,5,0,,50,0,5,3,6,36
Bo-Katan Kryze,8,7,0,GAC delta,50,0,9,3,20,18
Gungan Boomadier,8,8,0,,50,0,3,39,7,1
Bossk,8,8,0,,50,0,12,38,0,0
Boss Nass,8,8,0,,50,0,3,39,7,1
Boushh (Leia Organa),8,8,0,,50,0,23,23,4,0
Brutus,8,9,1,GAC delta,50,0,34,8,8,0
BT-1,7,9,2,TB,50,0,9,10,25,6
Threepio & Chewie,7,7,0,TB,50,0,0,7,43,0
C-3PO,7,8,1,,50,0,3,36,11,0
Cad Bane,8,7,0,,50,0,4,15,17,14
Cal Kestis,7,7,0,,50,0,3,20,23,4
Canderous Ordo,7,6,0,,50,0,0,5,22,23
Captain Drogan,9,9,0,,50,1,43,6,0,0
Captain Enoch,9,9,0,TB,50,0,37,5,8,0
Captain Rex,7,8,1,TB,50,0,3,28,19,0
Captain Silvo,7,7,0,,50,0,35,10,5,0
Captain Tarpals,8,8,0,,50,0,4,38,7,1
Cara Dune,7,7,0,TB,50,0,0,1,15,34
Carth Onasi,5,5,0,,50,0,0,1,5,44
Cassian Andor,8,8,0,,50,0,6,44,0,0
Cassian Andor (Undercover),0,5,0,,48,0,0,0,0,48
"CC-2224 ""Cody""",6,5,0,,50,0,0,0,10,40
Cere Junda,8,8,0,GAC delta,50,0,1,25,24,0
Chewbacca,8,8,0,TB,50,0,2,35,13,0
Chief Chirpa,7,7,0,,50,0,0,23,10,17
Chief Nebit,6,5,0,,50,0,1,1,3,45
Chirrut Îmwe,6,5,0,,50,0,2,4,16,28
Chopper,6,7,1,TW delta,50,0,1,16,7,26
Cinta Kaz,0,5,0,,50,0,0,0,0,50
Clone Sergeant - Phase I,5,5,0,,50,0,1,1,4,44
Clone Wars Chewbacca,9,7,0,TB,50,0,38,0,1,11
Colonel Starck,7,8,1,,50,0,1,28,5,16
Commander Ahsoka Tano,9,9,0,,50,0,50,0,0,0
Commander Luke Skywalker,9,7,0,,50,0,3,9,38,0
Coruscant Underworld Police,9,9,0,,50,8,35,1,0,6
Count Dooku,8,8,0,TW delta,50,0,1,49,0,0
Crosshair (Scarred),7,7,0,,50,0,1,23,21,5
"CT-21-0408 ""Echo""",7,7,0,TB,50,0,0,5,45,0
"CT-5555 ""Fives""",7,7,0,TB,50,0,7,8,35,0
"CT-7567 ""Rex""",7,7,0,TB,50,0,1,4,45,0
Old Daka,9,7,0,,50,0,5,5,20,20
Rey (Dark Side Vision),8,8,0,,50,0,27,19,4,0
Dark Trooper,6,7,1,,50,0,1,16,19,14
Darth Bane,9,9,0,,50,4,38,6,2,0
Darth Malak,9,9,0,,50,0,50,0,0,0
Darth Malgus,9,9,0,,50,2,29,11,7,1
Darth Nihilus,7,7,0,GAC delta,50,0,1,7,32,10
Darth Revan,9,10,1,Fleet arena,50,45,5,0,0,0
Darth Sidious,7,8,1,,50,0,1,25,24,0
Darth Sion,8,7,0,GAC delta,50,0,0,2,20,28
Darth Talon,7,7,0,GAC delta,50,0,1,4,17,28
Darth Traya,7,7,0,GAC delta,50,0,4,7,29,10
Dash Rendar,7,7,0,,50,0,4,10,36,0
Dathcha,6,5,0,,50,0,0,2,3,45
Death Trooper,6,7,1,,50,0,2,18,12,18
Death Trooper (Peridea),9,9,0,TB,50,0,37,6,7,0
Dedra Meero,0,5,0,,50,0,0,0,0,50
