source,BaseID,Name,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,updated
all,TRIPLEZERO,0-0-0,18373,2387,5849,801,88000,16015,22912,1305,549,17,2026-08-01T06:08:20.718418+00:00
all,4LOM,4-LOM,3676,3823,5304,3779,8744,3152,7065,920,1960,12,2026-08-01T01:37:37.201888+00:00
all,50RT,50R-T,17896,3508,7958,1462,78519,15125,18588,3807,1724,34,2026-08-01T07:07:26.900003+00:00
all,AAYLASECURA,Aayla Secura,1639,1431,92186,7526,54537,12027,16038,6921,3815,15,2026-07-31T20:30:45.032317+00:00
all,ADMIRALACKBAR,Admiral Ackbar,17299,6829,169723,7935,22803,8010,32330,3855,286,37,2026-07-31T22:30:59.254892+00:00
all,ADMIRALPIETT,Admiral Piett,22984,6096,4437,2052,49782,7283,8532,154748,30385,1886,2026-07-31T09:01:00.582883+00:00
all,ADMIRALRADDUS,Admiral Raddus,9122,4051,5644,1476,18754,8550,10031,1386,116628,1203,2026-08-01T07:07:08.958442+00:00
all,TRENCH,Admiral Trench,6081,4465,8435,4018,14591,13756,12394,3905,286,23,2026-08-01T06:07:14.121969+00:00
all,GLAHSOKATANO,Ahsoka Tano,17,27,85,161,579,539,10649,7203,37678,25652,2026-08-01T03:07:41.213505+00:00
all,FULCRUMAHSOKA,Ahsoka Tano (Fulcrum),38763,7140,20972,4177,24767,10222,6083,1501,88176,140,2026-07-31T16:01:04.163179+00:00
all,AHSOKATANO,Ahsoka Tano (Snips),25523,32716,40433,31538,99564,20595,39497,5498,94746,233,2026-07-31T18:30:55.094404+00:00
all,AMILYNHOLDO,Amilyn Holdo,2488,951,1379,389,164280,18564,6899,834,791,15,2026-07-31T13:00:28.703306+00:00
all,ARCTROOPER501ST,ARC Trooper,2751,3067,8338,3833,25427,6928,16805,146588,191,6,2026-07-31T10:01:01.359497+00:00
all,ASAJVENTRESS,Asajj Ventress,15633,8625,49142,19271,128963,19104,25452,5453,649,74,2026-07-31T19:30:11.242472+00:00
all,ASAJJDARKDISCIPLE,Asajj Ventress (Dark Disciple),4631,7538,4922,6974,5740,24157,8589,1359,1600,29,2026-08-01T01:37:07.464407+00:00
all,AURRA_SING,Aurra Sing,3322,1906,1733,1045,18758,150195,5882,4112,173,3,2026-07-31T12:00:09.798903+00:00
all,B1BATTLEDROIDV2,B1 Battle Droid,18238,12535,62134,41624,104841,12818,20102,726,238,6,2026-07-31T11:00:15.356775+00:00
all,B2SUPERBATTLEDROID,B2 Super Battle Droid,18315,14226,71021,35980,91222,15322,17672,3233,214,5,2026-07-31T23:30:26.956250+00:00
all,BARRISSOFFEE,Barriss Offee,4865,3972,7332,2864,95931,13610,20627,3712,2094,52,2026-07-31T20:00:43.654083+00:00
all,BASTILASHAN,Bastila Shan,8390,10187,40050,17068,46216,21334,110254,3776,2071,68,2026-07-31T12:01:02.816075+00:00
all,BASTILASHANDARK,Bastila Shan (Fallen),6246,8914,50781,23371,104485,26377,37118,4176,573,22,2026-07-31T11:00:54.908974+00:00
all,BATCHERS3,Batcher,13107,3609,10819,3054,33762,9438,8051,1724,763,8,2026-08-01T03:07:27.061464+00:00
all,BAYLANSKOLL,Baylan Skoll,1011,1105,2329,2435,11782,5527,50131,14226,8509,1091,2026-08-01T03:37:08.583902+00:00
all,BAZEMALBUS,Baze Malbus,7140,2410,7347,1731,47395,8079,12639,2232,1556,14,2026-07-31T17:30:40.557925+00:00
all,BB8,BB-8,2864,2523,12855,1821,2971,691,158729,3197,223,8,2026-07-31T14:00:20.884248+00:00
all,BENSOLO,Ben Solo,2505,2488,6328,3848,26931,15278,47485,16490,6904,1507,2026-08-01T06:40:31.111368+00:00
all,BIGGSDARKLIGHTER,Biggs Darklighter,1589,651,163205,7473,61349,3390,8994,447,80,5,2026-07-31T22:00:59.073100+00:00
all,BISTAN,Bistan,2497,599,544,222,106689,2844,26231,2191,809,1,2026-07-31T17:30:42.921666+00:00
all,MANDALORBOKATAN,Bo-Katan (Mand'alor),766,915,2059,2065,9125,3695,70410,19880,7333,499,2026-08-01T04:37:27.185226+00:00
all,BOKATAN,Bo-Katan Kryze,3334,1873,2793,1201,162043,17377,20379,3200,1913,10,2026-07-31T08:31:31.353622+00:00
all,BOBAFETT,Boba Fett,22564,21969,20289,11220,56483,9815,31673,186559,3325,296,2026-07-31T22:30:28.786007+00:00
all,BOBAFETTSCION,"Boba Fett, Scion of Jango",6896,5526,7559,3525,11651,17609,23499,7599,4139,30,2026-07-31T08:00:10.567146+00:00
all,BODHIROOK,Bodhi Rook,6007,2338,5339,1192,46597,5337,10981,286,988,8,2026-07-31T16:30:29.763086+00:00
all,BOSSNASS,Boss Nass,43715,3921,14664,1490,70420,34725,34964,11004,2268,242,2026-08-01T04:37:07.889770+00:00
all,BOSSK,Bossk,19342,15338,14280,8468,159155,17881,36679,63441,3352,161,2026-07-31T12:31:03.102831+00:00
all,BOUSHH,Boushh (Leia Organa),8102,2630,2754,956,126647,24831,40817,16164,5112,190,2026-08-01T06:39:15.960851+00:00
all,BRUTUS,Brutus,1298,1477,1655,2129,2587,348,34871,7552,12134,146,2026-08-01T02:07:30.530084+00:00
