BaseID,Name,era
CASSIANUNDERCOVER,Cassian Andor (Undercover),Andor
CINTA,Cinta Kaz,Andor
DEDRAMEERO,Dedra Meero,Andor
KLEYA,Kleya Marki,Andor
KXSECURITYDROID,KX Security Droid,Andor
MAJORPARTAGAZ,Major Partagaz,Andor
VEL,Vel Sartha,Andor
ASAJJDARKDISCIPLE,Asajj Ventress (Dark Disciple),Anniversary
VADERDUELSEND,Darth Vader (Duel's End),Anniversary
IG90,IG-90,Anniversary
INQUISITORBARRISS,Inquisitor Barriss,Anniversary
MAULHATEFUELED,Maul (Hate-Fueled),Anniversary
STORMTROOPERLUKE,Stormtrooper Luke,Anniversary
YODACHEWBACCA,Yoda & Chewie,Anniversary
GLAHSOKATANO,Ahsoka Tano,Apprentices
GENERALSYNDULLA,General Syndulla,Apprentices
HUYANG,Huyang,Apprentices
PADAWANSABINE,Padawan Sabine Wren,Apprentices
TRENCH,Admiral Trench,Conquest
BENSOLO,Ben Solo,Conquest
BOBAFETTSCION,"Boba Fett, Scion of Jango",Conquest
COBBVANTH,Cobb Vanth,Conquest
COMMANDERAHSOKA,Commander Ahsoka Tano,Conquest
MOFFGIDEONS3,Dark Trooper Moff Gideon,Conquest
DARTHBANE,Darth Bane,Conquest
DARTHMALGUS,Darth Malgus,Conquest
EZRAEXILE,Ezra Bridger (Exile),Conquest
FURYCLASSINTERCEPTOR,Fury-class Interceptor,Conquest
JOCASTANU,Jocasta Nu,Conquest
LEIAJEDITRAINING,Leia (Jedi Training),Conquest
LUTHENRAEL,Luthen Rael,Conquest
MAULS7,Maul,Conquest
MAZKANATA,Maz Kanata,Conquest
QUEENAMIDALA,Queen Amidala,Conquest
RAZORCREST,Razor Crest,Conquest
DARKREY,Rey (Dark Side Vision),Conquest
SATELESHAN,Satele Shan,Conquest
SCYTHE,Scythe,Conquest
SM33,SM-33,Conquest
TARONMALICOS,Taron Malicos,Conquest
STRANGER,The Stranger,Conquest
TIEINTERCEPTOR,TIE/IN Interceptor Prototype,Conquest
4LOM,4-LOM,Deadly Pursuits
BWINGREBEL,Rebel B-wing,Deadly Pursuits
ROGUEONESHIP,Rogue One,Deadly Pursuits
ZUCKUSS,Zuckuss,Deadly Pursuits
TRIPLEZERO,0-0-0,Legacy
50RT,50R-T,Legacy
AAYLASECURA,Aayla Secura,Legacy
ADMIRALACKBAR,Admiral Ackbar,Legacy
ADMIRALPIETT,Admiral Piett,Legacy
ADMIRALRADDUS,Admiral Raddus,Legacy
FULCRUMAHSOKA,Ahsoka Tano (Fulcrum),Legacy
AHSOKATANO,Ahsoka Tano (Snips),Legacy
JEDISTARFIGHTERAHSOKATANO,Ahsoka Tano's Jedi Starfighter,Legacy
AMILYNHOLDO,Amilyn Holdo,Legacy
JEDISTARFIGHTERANAKIN,Anakin's Eta-2 Starfighter,Legacy
ARCTROOPER501ST,ARC Trooper,Legacy
ASAJVENTRESS,Asajj Ventress,Legacy
AURRA_SING,Aurra Sing,Legacy
SITHBOMBER,B-28 Extinction-class Bomber,Legacy
B1BATTLEDROIDV2,B1 Battle Droid,Legacy
B2SUPERBATTLEDROID,B2 Super Battle Droid,Legacy
BARRISSOFFEE,Barriss Offee,Legacy
BASTILASHAN,Bastila Shan,Legacy
BASTILASHANDARK,Bastila Shan (Fallen),Legacy
BAYLANSKOLL,Baylan Skoll,Legacy
BAZEMALBUS,Baze Malbus,Legacy
BB8,BB-8,Legacy
BIGGSDARKLIGHTER,Biggs Darklighter,Legacy
XWINGRED3,Biggs Darklighter's X-wing,Legacy
BISTAN,Bistan,Legacy
UWINGSCARIF,Bistan's U-wing,Legacy
MANDALORBOKATAN,Bo-Katan (Mand'alor),Legacy
BOKATAN,Bo-Katan Kryze,Legacy
BOBAFETT,Boba Fett,Legacy
BODHIROOK,Bodhi Rook,Legacy
BOSSNASS,Boss Nass,Legacy
BOSSK,Bossk,Legacy
BOUSHH,Boushh (Leia Organa),Legacy
BT1,BT-1,Legacy
YWINGCLONEWARS,BTL-B Y-wing Starfighter,Legacy
C3POLEGENDARY,C-3PO,Legacy
CADBANE,Cad Bane,Legacy
CALKESTIS,Cal Kestis,Legacy
CANDEROUSORDO,Canderous Ordo,Legacy
CAPTAINDROGAN,Captain Drogan,Legacy
CAPTAINENOCH,Captain Enoch,Legacy
HOTHHAN,Captain Han Solo,Legacy
PHASMA,Captain Phasma,Legacy
CAPTAINREX,Captain Rex,Legacy
CAPTAINTARPALS,Captain Tarpals,Legacy
CARADUNE,Cara Dune,Legacy
CARTHONASI,Carth Onasi,Legacy
CASSIANANDOR,Cassian Andor,Legacy
UWINGROGUEONE,Cassian's U-wing,Legacy
CC2224,"CC-2224 ""Cody""",Legacy
CEREJUNDA,Cere Junda,Legacy
CHEWBACCALEGENDARY,Chewbacca,Legacy
CHIEFCHIRPA,Chief Chirpa,Legacy
CHIEFNEBIT,Chief Nebit,Legacy
CAPITALCHIMAERA,Chimaera,Legacy
CHIRRUTIMWE,Chirrut Îmwe,Legacy
CHOPPERS3,Chopper,Legacy
CLONESERGEANTPHASEI,Clone Sergeant - Phase I,Legacy
ARC170CLONESERGEANT,Clone Sergeant's ARC-170,Legacy
CLONEWARSCHEWBACCA,Clone Wars Chewbacca,Legacy
COLONELSTARCK,Colonel Starck,Legacy
COMEUPPANCE,Comeuppance,Legacy
COMMANDERLUKESKYWALKER,Commander Luke Skywalker,Legacy
CORUSCANTUNDERWORLDPOLICE,Coruscant Underworld Police,Legacy
COUNTDOOKU,Count Dooku,Legacy
CT210408,"CT-21-0408 ""Echo""",Legacy
CT5555,"CT-5555 ""Fives""",Legacy
CT7567,"CT-7567 ""Rex""",Legacy
DARKTROOPER,Dark Trooper,Legacy
DARTHMALAK,Darth Malak,Legacy
MAUL,Darth Maul,Legacy
DARTHNIHILUS,Darth Nihilus,Legacy
DARTHREVAN,Darth Revan,Legacy
DARTHSIDIOUS,Darth Sidious,Legacy
DARTHSION,Darth Sion,Legacy
DARTHTALON,Darth Talon,Legacy
DARTHTRAYA,Darth Traya,Legacy
VADER,Darth Vader,Legacy
DASHRENDAR,Dash Rendar,Legacy
DATHCHA,Dathcha,Legacy
DEATHTROOPER,Death Trooper,Legacy
DEATHTROOPERPERIDEA,Death Trooper (Peridea),Legacy
DENGAR,Dengar,Legacy
DIRECTORKRENNIC,Director Krennic,Legacy
DOCTORAPHRA,Doctor Aphra,Legacy
DROIDEKA,Droideka,Legacy
EBONHAWK,Ebon Hawk,Legacy
BADBATCHECHO,Echo,Legacy
EETHKOTH,Eeth Koth,Legacy
EIGHTHBROTHER,Eighth Brother,Legacy
EMBO,Embo,Legacy
EMPERORPALPATINE,Emperor Palpatine,Legacy
EMPERORSSHUTTLE,Emperor's Shuttle,Legacy
CAPITALJEDICRUISER,Endurance,Legacy
ENFYSNEST,Enfys Nest,Legacy
EWOKELDER,Ewok Elder,Legacy
EWOKSCOUT,Ewok Scout,Legacy
CAPITALEXECUTOR,Executor,Legacy
CAPITALSTARDESTROYER,Executrix,Legacy
EZRABRIDGERS3,Ezra Bridger,Legacy
FENNECSHAND,Fennec Shand,Legacy
FIFTHBROTHER,Fifth Brother,Legacy
CAPITALFINALIZER,Finalizer,Legacy
FINN,Finn,Legacy
FIRSTORDEREXECUTIONER,First Order Executioner,Legacy
FIRSTORDEROFFICERMALE,First Order Officer,Legacy
TIEFIGHTERFOSF,First Order SF TIE Fighter,Legacy
FIRSTORDERSPECIALFORCESPILOT,First Order SF TIE Pilot,Legacy
FIRSTORDERTROOPER,First Order Stormtrooper,Legacy
TIEFIGHTERFIRSTORDER,First Order TIE Fighter,Legacy
FIRSTORDERTIEPILOT,First Order TIE Pilot,Legacy
GAMORREANGUARD,Gamorrean Guard,Legacy
GARSAXON,Gar Saxon,Legacy
ZEBS3,"Garazeb ""Zeb"" Orrelios",Legacy
GAUNTLETSTARFIGHTER,Gauntlet Starfighter,Legacy
GRIEVOUS,General Grievous,Legacy
GENERALHUX,General Hux,Legacy
GENERALKENOBI,General Kenobi,Legacy
GENERALSKYWALKER,General Skywalker,Legacy
VEERS,General Veers,Legacy
GEONOSIANBROODALPHA,Geonosian Brood Alpha,Legacy
GEONOSIANSOLDIER,Geonosian Soldier,Legacy
GEONOSIANSTARFIGHTER2,Geonosian Soldier's Starfighter,Legacy
GEONOSIANSPY,Geonosian Spy,Legacy
