BaseID,Name,combat_type,alignment,role,categories,ability_classes,image,ship,era,unit_relic_all,unit_relic_guilds_100,unit_relic_kyber_1000
4LOM,4-LOM,1,Dark Side,Support,Leader|Bounty Hunter|Droid|Scoundrel,Bonus Turn|Counter|Reduce Cooldowns|Vulnerable|AoE|Assist|Defense Down|Reset Cooldown|Dispel|Shock|Stun|+Speed|Gain Turn Meter|+Tenacity|Ability Block|Stealth|Accuracy Down,https://game-assets.swgoh.gg/textures/tex.charui_4lom.png,,Deadly Pursuits,5,7,7
50RT,50R-T,1,Light Side,Support,Leader|Droid|Old Republic,Defense Down|Remove Turn Meter|Gain Turn Meter|Damage Immunity|+Defense|Health Steal Up|Counter|Foresight|Defense Up|Dispel|+Speed|Instant Defeat Immunity|Revive|Advantage|AoE|Target Lock|+Max Health|Tenacity Up|Protection Up|Speed Down|Speed Up|+Critical|Offense Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_50rt.png,,Legacy,5,7,7
AAYLASECURA,Aayla Secura,1,Light Side,Support,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,Counter|+Max Health|AoE|Assist|Defense Down|Dispel|Stun|Relic Scaling|Gain Turn Meter|+Tenacity,https://game-assets.swgoh.gg/textures/tex.charui_aaylasecura.png,,Legacy,4,8,8
ADMINISTRATORLANDO,Lando Calrissian,1,Light Side,Attacker,Leader|Rebel|Rebel Fighter|Scoundrel,Reset Cooldown|AoE|Critical Chance Up|+Speed,https://game-assets.swgoh.gg/textures/tex.charui_landobespin.png,,Legacy,5,5,5
ADMIRALACKBAR,Admiral Ackbar,1,Light Side,Support,Leader|Rebel|Fleet Commander,Tenacity Up|Assist|Heal|Dispel|+Speed|Gain Turn Meter|+Tenacity,https://game-assets.swgoh.gg/textures/tex.charui_ackbaradmiral.png,CAPITALMONCALAMARICRUISER,Legacy,3,6,7
ADMIRALPIETT,Admiral Piett,1,Dark Side,Support,Leader|Empire|Imperial Trooper|Fleet Commander,Counter|Fear|Defense Up|AoE|Assist|Dispel|+Speed|Daze|Gain Turn Meter|+Tenacity|Marked|Offense Up|Stealth|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_piett.png,CAPITALEXECUTOR,Legacy,8,9,9
ADMIRALRADDUS,Admiral Raddus,1,Light Side,Support,Leader|Rebel|Rogue One|Fleet Commander,Bonus Turn|Heal|Critical Chance Up|Gain Turn Meter|+Tenacity|Critical Damage Up|+Defense|Counter|Defense Up|Taunt|Dispel|Potency Up|+Speed|Revive|Anti-Revive|Protection Disruption|Reduce Cooldowns|AoE|Assist|Expose|Healing Immunity|Daze|Health Up|Protection Up|+Critical|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_admiralraddus.png,CAPITALPROFUNDITY,Legacy,9,9,9
AHSOKATANO,Ahsoka Tano (Snips),1,Light Side,Attacker,Leader|501st|Galactic Republic|Jedi,Counter|Critical Hit Immunity|Foresight|Protection Up|Assist|Heal|+Evasion|Dispel|+Speed|Gain Turn Meter,https://game-assets.swgoh.gg/textures/tex.charui_ahsoka.png,JEDISTARFIGHTERAHSOKATANO,Legacy,5,9,9
AMILYNHOLDO,Amilyn Holdo,1,Light Side,Tank,Resistance|Fleet Commander,Foresight|AoE|Defense Down|Taunt|Dispel|+Speed|Daze|Evasion Down,https://game-assets.swgoh.gg/textures/tex.charui_holdo.png,CAPITALRADDUS,Legacy,5,5,6
ANAKINKNIGHT,Jedi Knight Anakin,1,Light Side,Attacker,Leader|Galactic Republic|Jedi,Bonus Turn|AoE|Healing Immunity|Protection Up|Dispel|Critical Chance Up|Buff Immunity|Offense Up|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_anakinknight.png,JEDISTARFIGHTERANAKIN,Legacy,7,7,8
