AllyCode,Name,UnitId,BaseId,CombatType,Alignment,Stars,Level,GearLevel,Power,ZetaCount,ZetaLead,OmiCount,TWOmiCount,GACOmiCount,TBOmiCount,CQOmiCount,Ultimate,RelicLevel,Speed10,Speed15,Speed20,Speed25,ModCount,ModSixCount,PlusSpeed,PrimaryArrow,PrimaryCircle,PrimaryCross,PrimaryTriangle,Sets,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Health,Protection,Speed,CritDamage,Potency,Tenacity,HealthSteal,DefensePen,Damage,CritChance,ArmorPen,Accuracy,Armor,DodgeChance,CritAvoidance,SpecialDamage,SpecialCritChance,ResistancePen,SpecialAccuracy,Resistance,DeflectionChance,SpecialCritAvoidance
447681823,"Vaexqua","nPoPZtePQrCVFwreMeRuDA","MAGMATROOPER","Character","Dark",7,85,13,18103,0,0,0,0,0,0,0,False,0,0,0,0,0,6,0,58,5,56,48,16,"48+53",False,False,False,False,False,False,35275,62704,197,186.0,58.751,55.341,10.0,0.0,5689,56.9636666666667,149,0.0,43.054935238946,2.0,0.0,2297,27.172,0,0.0,16.0631994733377,2.0,0.0
447681823,"Vaexqua","8tRCESNMTECjsxv2mdFg_Q","HERMITYODA","Character","Light",7,85,13,28794,2,0,0,0,0,0,0,False,5,4,1,0,0,6,3,112,5,55,55,56,"57",False,False,False,False,False,False,71581,63642,292,150.0,48.322,68.41,5.0,0.0,4189,44.0596666666667,10,7.5,59.1215133055466,2.0,7.5,6604,18.1846666666667,35,7.5,55.5284269271015,2.0,0.0
447681823,"Vaexqua","bT5TA2T2Qo-2tviRTmNfbA","GREEFKARGA","Character","Light",7,85,13,29427,2,0,0,0,0,0,0,False,5,2,0,0,0,6,0,88,5,56,49,56,"57+49",False,False,False,False,False,False,54744,77681,260,150.0,40.25,47.328,18.75,5000.0,5164,47.7756666666667,128,7.5,60.635998765051,2.0,0.0,3934,11.984,50,7.5,47.0734744707347,2.0,0.0
447681823,"Vaexqua","WgCvzgpgQKG1GAset1gXpw","ZUCKUSS","Character","Dark",3,85,12,13225,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,"",False,False,False,False,False,False,20558,49775,152,150.0,21.0,47.0,25.0,0.0,2413,25.625,63,0.0,24.2424242424242,2.0,0.0,984,10.0,5,0.0,19.3548387096774,2.0,0.0
447681823,"Vaexqua","tmZHDxn-R82_bTE0J57psA","ZEBS3","Character","Light",7,85,13,21610,1,0,0,0,0,0,0,False,1,0,0,0,0,6,0,53,5,55,56,48,"49+17+55",False,False,False,False,False,False,54353,58807,188,150.0,75.362,43.561,20.75,0.0,4358,51.5113333333333,115,0.0,54.3174489430312,2.0,0.0,1820,18.178,0,0.0,21.731123388582,2.0,0.0
447681823,"Vaexqua","BIi9jxDWS9SY5_WgM9T0Jw","LUTHENRAEL","Character","Light",7,85,13,27051,1,0,2,0,2,0,0,False,6,5,2,1,0,6,6,122,5,56,17,53,"57+53",False,False,False,False,False,False,46833,80777,320,150.0,100.15,101.294,5.0,0.0,5128,87.7246666666667,42,10.5,53.9877300613497,2.0,10.5,7702,60.683,120,10.5,51.1307014181679,2.0,0.0
447681823,"Vaexqua","4yOdTOtuQzaIkXTxH48JQA","BARRISSOFFEE","Character","Light",7,85,13,21867,1,0,0,0,0,0,0,False,1,1,0,0,0,6,0,67,5,55,18,49,"55+55+55",False,False,False,False,False,False,60806,50326,203,150.0,28.474,70.309,10.75,0.0,3717,51.625,35,0.0,48.692152917505,2.0,0.0,2934,15.875,5,0.0,37.161163134549,2.0,0.0
447681823,"Vaexqua","vgYPoUABS4a-SB27k57TzQ","THIRDSISTER","Character","Dark",7,85,13,37656,3,1,3,0,3,0,0,False,8,5,2,1,0,6,6,76,55,55,55,16,"48+55",False,False,False,False,False,False,104187,83510,244,192.0,75.986,82.979,59.0,0.0,8133,59.0343333333333,87,0.0,67.6642150646716,2.0,0.0,6441,18.326,0,0.0,48.1074481074481,2.0,0.0
447681823,"Vaexqua","5ZRv6M9qQoKI18cfjvnU1g","CT210408","Character","Light",7,85,13,29595,1,0,0,0,0,0,0,False,7,2,1,0,0,6,6,45,48,55,48,16,"53+48",False,False,False,False,False,False,65465,50975,194,192.0,35.121,62.606,25.0,0.0,8012,67.979,174,13.5,43.5590969455511,2.0,13.5,11864,45.4373333333333,187,13.5,36.2181090545273,2.0,0.0
447681823,"Vaexqua","FYPW9ZFvRY6D62oLkJoovw","B1BATTLEDROIDV2","Character","Dark",7,85,13,25707,1,0,0,0,0,0,0,False,5,2,1,0,0,6,1,101,5,56,48,48,"57+18",False,False,False,False,False,False,35938,47074,266,157.5,79.839,55.307,5.0,0.0,7167,65.7916666666666,517,0.0,45.5360956856044,2.0,0.0,4206,20.0,5,0.0,27.43312464428,2.0,0.0
