AllyCode,Name,UnitId,BaseId,CombatType,Alignment,Stars,Level,GearLevel,Power,ZetaCount,ZetaLead,OmiCount,TWOmiCount,GACOmiCount,TBOmiCount,CQOmiCount,Ultimate,RelicLevel,Speed10,Speed15,Speed20,Speed25,ModCount,ModSixCount,PlusSpeed,PrimaryArrow,PrimaryCircle,PrimaryCross,PrimaryTriangle,Sets,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Health,Protection,Speed,CritDamage,Potency,Tenacity,HealthSteal,DefensePen,Damage,CritChance,ArmorPen,Accuracy,Armor,DodgeChance,CritAvoidance,SpecialDamage,SpecialCritChance,ResistancePen,SpecialAccuracy,Resistance,DeflectionChance,SpecialCritAvoidance
535917389,"Azrael","y9Q34i4KQbW0LzPTvvxGFg","MAGMATROOPER","Character","Dark",7,85,13,22989,0,0,0,0,0,0,0,False,5,2,1,0,0,6,5,68,5,56,55,16,"48+18",False,False,False,False,False,False,58591,56483,207,192.0,70.356,87.001,10.0,5000.0,7876,63.296,149,7.5,55.3415061295972,2.0,0.0,5470,20.921,50,7.5,29.2845257903494,2.0,0.0
535917389,"Azrael","fbu54U5iRmOWrZJ4LXT0_Q","HERMITYODA","Character","Light",7,85,13,29110,2,0,0,0,0,0,0,False,5,5,1,0,0,6,6,116,5,56,56,48,"57+55",False,False,False,False,False,False,74405,79706,296,150.0,48.706,62.656,5.0,0.0,4697,45.3836666666667,10,7.5,56.6178972439605,2.0,7.5,7506,19.5086666666667,35,7.5,52.8650646950092,2.0,0.0
535917389,"Azrael","57jJ8cDzRqiegDEqVoz4Nw","GREEFKARGA","Character","Light",7,85,13,31347,2,0,0,0,0,0,0,False,6,3,1,0,0,6,6,71,5,56,18,16,"55",False,False,False,False,False,False,64791,69161,243,192.0,42.395,89.293,20.25,7000.0,5678,65.3993333333334,128,10.5,59.9434495758718,2.0,0.0,4517,26.941,70,10.5,45.9516744383213,2.0,0.0
535917389,"Azrael","v6ubuUa1SYK4Var-p6J7vg","ZUCKUSS","Character","Dark",4,85,13,18912,1,0,1,1,0,0,0,False,0,2,0,0,0,6,1,86,5,56,55,49,"57+18",False,False,False,False,False,False,39392,77654,258,150.0,56.914,84.619,40.0,0.0,4245,36.2733333333333,223,0.0,44.0052700922266,2.0,0.0,1501,17.69,5,0.0,34.982151963284,2.0,0.0
535917389,"Azrael","1cwFwxpMRGuzwxWZM7EeIg","ZEBS3","Character","Light",7,85,12,20499,1,0,0,0,0,0,0,False,0,0,0,0,0,6,1,42,5,56,56,56,"16+53",True,False,False,False,True,True,35328,63013,171,180.0,45.636,35.935,15.0,0.0,3814,70.987,115,0.0,40.5594405594406,2.0,0.0,1606,39.487,0,0.0,17.2615184944841,2.0,0.0
535917389,"Azrael","nsvgATCaRDeSSShKNp3Oaw","LUTHENRAEL","Character","Light",7,85,13,28816,1,0,1,0,1,0,0,False,7,4,0,0,0,6,6,105,5,55,55,55,"55+57",False,False,False,False,False,False,76900,62505,303,150.0,66.913,106.532,5.0,0.0,5873,49.4053333333333,42,13.5,56.7356633864947,2.0,13.5,8879,19.822,120,13.5,53.7540805223069,2.0,0.0
535917389,"Azrael","wGNJY2sqT8qAM7c1F3NIow","BARRISSOFFEE","Character","Light",7,85,13,29644,1,0,0,0,0,0,0,False,7,5,4,2,0,6,6,125,5,56,55,55,"55+55+55",False,False,False,False,False,False,132795,70367,261,150.0,22.99,42.939,16.75,0.0,5703,68.5386666666666,35,0.0,59.2,2.0,0.0,5974,16.622,5,0.0,42.6450742240216,2.0,0.0
535917389,"Azrael","Br7ESGnIR4y45kIudPQRDg","THIRDSISTER","Character","Dark",7,85,13,40278,3,1,2,0,2,0,0,False,9,5,5,2,0,6,6,126,5,56,49,48,"55+48",False,False,False,False,False,False,82882,121624,294,150.0,72.204,76.653,60.5,0.0,8585,51.25,87,0.0,72.9356824453407,2.0,0.0,6764,10.0,0,0.0,53.416149068323,2.0,0.0
535917389,"Azrael","pwxL8s2jTACTdlPYAdorOQ","CT210408","Character","Light",7,85,13,32020,1,0,0,0,0,0,0,False,8,5,5,4,0,6,6,131,5,55,18,53,"48+53",False,False,False,False,False,False,67177,49806,280,150.0,41.806,92.31,25.0,0.0,8043,76.1706666666667,174,18.0,45.3493356193742,2.0,18.0,11786,51.0873333333333,187,18.0,37.4693477194703,2.0,0.0
535917389,"Azrael","72UjQFOCRAiuZrr1xieSIQ","B1BATTLEDROIDV2","Character","Dark",7,85,13,29512,1,0,0,0,0,0,0,False,7,4,2,0,0,6,6,100,5,56,48,48,"17+48",False,False,False,False,False,False,40924,52898,265,163.5,94.871,37.255,5.0,0.0,10657,85.5583333333334,517,0.0,49.6246542868431,2.0,0.0,7207,33.85,5,0.0,29.5190713101161,2.0,0.0
535917389,"Azrael","73XGX0s9TZSvtMTMIxlyLQ","COLONELSTARCK","Character","Dark",7,85,13,25662,1,0,0,0,0,0,0,False,5,0,0,0,0,6,0,71,5,56,56,16,"57+53",False,False,False,False,False,False,49809,66659,246,193.5,43.308,47.721,30.0,0.0,5018,94.9316666666667,161,0.0,49.142401276426,10.75,0.0,4323,38.64,0,0.0,30.6688417618271,10.75,0.0
535917389,"Azrael","ya-V-q2PSrKb_lbe585Ycg","VANGUARDTEMPLEGUARD","Character","Light",7,85,13,34527,1,0,0,0,0,0,0,False,9,5,3,2,1,6,6,117,5,55,49,49,"55+55+55",False,False,False,False,False,False,122733,112289,270,150.0,54.53,113.241,50.5,0.0,6376,53.7083333333333,97,0.0,76.8728460003628,2.0,0.0,5346,10.0,0,0.0,53.8210793190873,2.0,0.0
535917389,"Azrael","HPe3MFQFSsG43QBipXa0gw","BB8","Character","Light",7,85,13,32493,2,0,0,0,0,0,0,False,7,4,1,0,0,6,6,105,5,56,17,53,"57+18",False,False,False,False,False,False,57792,51587,287,150.0,81.571,78.885,10.0,0.0,5328,68.8506666666667,37,13.5,63.664861783984,2.0,13.5,8131,35.8506666666667,17,13.5,61.7920287683548,2.0,0.0
535917389,"Azrael","z9-3nqBHQHyfPo1ImVm3wQ","POGGLETHELESSER","Character","Dark",7,85,13,23785,0,0,1,1,0,0,0,False,5,4,2,1,0,6,6,119,5,55,48,56,"57+55",False,False,False,False,False,False,73632,32827,283,150.0,67.731,57.0,15.0,0.0,4940,37.7686666666667,70,7.5,54.4480171489818,2.0,7.5,8876,18.0186666666667,54,7.5,49.5449149188761,2.0,0.0
535917389,"Azrael","1nzT6ovoR-CVoCvgT-ocXg","FIRSTORDERSPECIALFORCESPILOT","Character","Dark",7,85,13,31266,0,0,0,0,0,0,0,False,9,1,0,0,0,6,6,70,5,56,18,16,"53+53+53",False,False,False,False,False,False,61908,63306,220,192.0,60.078,94.964,35.0,0.0,8474,105.075333333333,121,21.0,52.1934758155231,2.0,0.0,10910,66.7836666666667,170,21.0,38.3760270662156,2.0,0.0
535917389,"Azrael","AQAUtK-9R6ySHgKyc69H_Q","CEREJUNDA","Character","Light",7,85,13,35001,2,1,0,0,0,0,0,False,8,6,6,5,1,6,6,130,56,55,48,55,"55+55+55",False,False,False,False,False,False,92213,81665,262,168.0,68.603,88.798,55.0,0.0,5829,96.4256666666667,131,0.0,65.863453815261,23.0,0.0,5599,45.884,0,0.0,48.6508256141764,23.0,0.0
